school_id,order_id,order_date,test_date,product_family,product_subfamily,product_key,exam_name,schema_key,schema_type,n_examinees
979166,D-00076920-1,2023-12-01,2023-12-01,CAS,Proctored,CAS_PROCTORED,CAS Proctored,CAS_PROCTORED,SUBSCORES,91
979166,OB-79559115-1,2023-11-24,2023-12-04,SUBJECT_EXAM,Clinical Science,SUBJ_CS_MEDICINE,Medicine,SUBJECT_CLIN,SUBSCORES,73
979166,NSAS-12495742,2023-12-05,2023-12-05,NSAS,Mastery Series,NSAS_MS_SURGERY,Surgery (Mastery Series),NSAS_MASTERY,SUBSCORES,24
979166,D-00076636-1,2023-11-27,2023-12-06,CAS,Proctored,CAS_PROCTORED,CAS Proctored,CAS_PROCTORED,SUBSCORES,76
979166,D-00076782-1,2023-12-03,2023-12-06,CAS,Proctored,CAS_PROCTORED,CAS Proctored,CAS_PROCTORED,SUBSCORES,121
979166,OB-79558950-1,2023-11-28,2023-12-06,SUBJECT_EXAM,Basic Science,SUBJ_BS_GROSS_ANATOMY,Gross Anatomy,SUBJECT_BASIC,TOTAL_ONLY,95
979166,OB-79558945-1,2023-12-07,2023-12-11,SUBJECT_EXAM,Basic Science,SUBJ_BS_GROSS_ANATOMY,Gross Anatomy,SUBJECT_BASIC,TOTAL_ONLY,95
979166,OB-79558967-1,2023-12-09,2023-12-11,SUBJECT_EXAM,Clinical Science,SUBJ_CS_MEDICINE,Medicine,SUBJECT_CLIN,SUBSCORES,74
979166,OB-79559028-1,2023-12-03,2023-12-11,SUBJECT_EXAM,Clinical Science,SUBJ_CS_OBGYN,Obstetrics and Gynecology,SUBJECT_CLIN,SUBSCORES,22
979166,OB-79559183-1,2023-12-11,2023-12-11,SUBJECT_EXAM,Advanced Clinical,SUBJ_AC_EMERGENCY_MED,Emergency Medicine Advanced Clinical,SUBJECT_ADV,SUBSCORES,11
979166,OB-79559077-1,2023-12-11,2023-12-12,SUBJECT_EXAM,Basic Science,SUBJ_BS_GROSS_ANATOMY,Gross Anatomy,SUBJECT_BASIC,TOTAL_ONLY,38
979166,NSAS-12495893,2023-12-04,2023-12-13,NSAS,Mastery Series,NSAS_MS_PSYCHIATRY,Psychiatry (Mastery Series),NSAS_MASTERY,SUBSCORES,55
979166,OB-79559212-1,2023-12-11,2023-12-15,SUBJECT_EXAM,Clinical Science,SUBJ_CS_MEDICINE,Medicine,SUBJECT_CLIN,SUBSCORES,86
979166,D-00076635-1,2023-12-07,2023-12-17,CAS,Proctored,CAS_PROCTORED,CAS Proctored,CAS_PROCTORED,SUBSCORES,98
979166,OB-79558782-1,2023-12-14,2023-12-18,SUBJECT_EXAM,Clinical Science,SUBJ_CS_OBGYN,Obstetrics and Gynecology,SUBJECT_CLIN,SUBSCORES,86
979166,OB-79558900-1,2023-12-12,2023-12-18,SUBJECT_EXAM,Advanced Clinical,SUBJ_AC_EMERGENCY_MED,Emergency Medicine Advanced Clinical,SUBJECT_ADV,SUBSCORES,68
